"PMN.CD49d.24h.Veh"	"PMN.CD49d.24h.PAF"	"Mono.CD11b.24h.Veh"	"Mono.CD11b.24h.PAF"	"Mono.CD162.24h.Veh"	"Mono.CD162.24h.PAF"	"Platelet.CD63.24h.Veh"	"Platelet.CD63.24h.PAF"	"Mono.CD49d.24h.Veh"	"Mono.CD49d.24h.PAF"	"Platelet.CD62P.24h.Veh"	"Platelet.CD62P.24h.PAF"
"RvD1"	0.667175537796109	0.893896427593533	0.950228478210725	0.983922913135177	0.426629259630339	0.108383794542935	0.879864332909497	0.879537150864858	0.989951438323556	0.987312047614098	0.530344794191685	0.996019285297472
"AT.RvD1"	0.569533707564794	0.893896427593533	0.544341096025525	0.894244719472409	0.416866697335113	0.807896553644618	0.879864332909497	0.873072560251975	0.989951438323556	0.987312047614098	0.666898562284647	0.996019285297472
"RvD2"	0.667175537796109	0.899171166218652	0.813400657523725	0.983922913135177	0.876873861126242	0.731191129192083	0.879864332909497	0.873072560251975	0.989951438323556	0.987312047614098	0.666898562284647	0.996019285297472
"RvD3"	0.983934672499097	0.893896427593533	0.544341096025525	0.894244719472409	0.426629259630339	0.408088053127066	0.712351690601396	0.758645192948317	0.989951438323556	0.987312047614098	0.666898562284647	0.996019285297472
"AT.RvD3"	0.667175537796109	0.893896427593533	0.691892369360218	0.93613972883195	0.53100298302452	0.8386031456407	0.879864332909497	0.867506864142145	0.989951438323556	0.987312047614098	0.903823162160231	0.996019285297472
"RvD4"	0.667175537796109	0.893896427593533	0.544341096025525	0.894244719472409	0.77029514038415	0.891867023301772	0.879864332909497	0.867506864142145	0.989951438323556	0.987312047614098	0.666898562284647	0.996019285297472
"RvD5"	0.983934672499097	0.893896427593533	0.691892369360218	0.894244719472409	0.585359286132975	0.492857041530057	0.879864332909497	0.867506864142145	0.989951438323556	0.987312047614098	0.666898562284647	0.996019285297472
"RvD6"	0.667175537796109	0.893896427593533	0.691892369360218	0.983922913135177	0.397451239356244	0.198447949977414	0.986056277930687	0.867506864142145	0.989951438323556	0.987312047614098	0.530344794191685	0.996019285297472
"PD1"	0.667175537796109	0.893896427593533	0.691892369360218	0.894244719472409	0.268509994291571	0.287563431908775	0.953958284104578	0.93179671525953	0.989951438323556	0.987312047614098	0.666898562284647	0.996019285297472
"PDx"	0.667175537796109	0.971889380868114	0.777944861533329	0.950186574580228	0.46624825647102	0.198447949977414	0.912333922737154	0.867506864142145	0.989951438323556	0.987312047614098	0.530344794191685	0.996019285297472
"AT.PD1"	0.667175537796109	0.893896427593533	0.950228478210725	0.983922913135177	0.585359286132975	0.494428575850644	0.879864332909497	0.758645192948317	0.989951438323556	0.997990240599513	0.530344794191685	0.597314604418837
"X22.OH"	0.983934672499097	0.893896427593533	0.950228478210725	0.983922913135177	0.876873861126242	0.731191129192083	0.879864332909497	0.867506864142145	0.989951438323556	0.987312047614098	0.530344794191685	0.996019285297472
"PCTR1"	0.983934672499097	0.969186271018971	0.691892369360218	0.983922913135177	0.825505820575831	0.494428575850644	0.879864332909497	0.758645192948317	0.989951438323556	0.987312047614098	0.530344794191685	0.996019285297472
"PCTR2"	0.983934672499097	0.904874520102857	0.813400657523725	0.983922913135177	0.701447265401077	0.793070464562565	0.939199925196971	0.879537150864858	0.989951438323556	0.987312047614098	0.530344794191685	0.996019285297472
"PCTR3"	0.983934672499097	0.893896427593533	0.950228478210725	0.950186574580228	0.701447265401077	0.408088053127066	0.879864332909497	0.873072560251975	0.989951438323556	0.987312047614098	0.530344794191685	0.996019285297472
"RvD1n.3.DPA"	0.667175537796109	0.893896427593533	0.813400657523725	0.983922913135177	0.0246751276834666	0.108383794542935	0.879864332909497	0.873072560251975	0.989951438323556	0.987312047614098	0.666898562284647	0.996019285297472
"RvD2n.3.DPA"	0.983934672499097	0.893896427593533	0.813400657523725	0.894244719472409	1	0.793070464562565	0.879864332909497	0.922005934448711	0.989951438323556	0.987312047614098	0.575253231609897	0.996019285297472
"RvD5n.3DPA"	0.667175537796109	0.893896427593533	0.950228478210725	0.983922913135177	0.876873861126242	0.492857041530057	0.879864332909497	0.93179671525953	0.989951438323556	0.987312047614098	0.826069257916966	0.996019285297472
"PD1n.3DPA"	0.667175537796109	0.893896427593533	0.544341096025525	0.894244719472409	0.346258190700446	0.272488273097306	0.879864332909497	0.867506864142145	0.989951438323556	0.987312047614098	0.575253231609897	0.996019285297472
"PD2n.3.DPA"	0.983934672499097	0.893896427593533	0.76118300597685	0.93613972883195	0.53100298302452	0.192815236235487	0.879864332909497	0.867506864142145	0.989951438323556	0.987312047614098	0.575253231609897	0.996019285297472
"MaR1n.3DPA"	0.667175537796109	0.893896427593533	0.544341096025525	0.894244719472409	0.0627285136680939	0.408088053127066	0.879864332909497	0.867506864142145	0.989951438323556	0.987312047614098	0.666898562284647	0.996019285297472
"MaR2n.3.DPA"	0.983934672499097	0.893896427593533	0.691892369360218	0.894244719472409	0.831830834447529	0.373851623964773	0.879864332909497	0.873072560251975	0.989951438323556	0.987312047614098	0.674651498103322	0.996019285297472
"RvE1"	0.983934672499097	0.893896427593533	0.861034433483515	0.983922913135177	0.98779580540599	0.494428575850644	0.910475103490138	0.873072560251975	0.989951438323556	0.987312047614098	0.666898562284647	0.996019285297472
"RvE2"	0.667175537796109	0.893896427593533	0.544341096025525	0.950186574580228	0.397451239356244	0.492857041530057	0.879864332909497	0.867506864142145	0.989951438323556	0.987312047614098	0.530344794191685	0.996019285297472
"RvE3"	0.569533707564794	0.893896427593533	0.950228478210725	0.983922913135177	0.268509994291571	0.249851607335189	0.912333922737154	0.873072560251975	0.989951438323556	0.987312047614098	0.631594905771063	0.996019285297472
